,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
58573,Palau,0–10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58574,Palau,0–10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58575,Palau,0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58576,Palau,0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58577,Palau,0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58578,Palau,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58579,Palau,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58580,Palau,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58581,Palau,More than 10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58582,Palau,More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58583,Palau,More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58584,Palau,More than 10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58585,Palau,More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58586,Palau,More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58587,Palau,More than 10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58588,Palau,More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58589,Palau,More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
58590,Cook Islands,0–10 years,00–44,Persons,One or more long-term health condition(s),117.0,1180.0,9.91525423728813,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58591,Cook Islands,0–10 years,00–44,Male,One or more long-term health condition(s),60.0,668.0,8.98203592814371,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58592,Cook Islands,0–10 years,00–44,Female,One or more long-term health condition(s),57.0,512.0,11.1328125,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58593,Cook Islands,0–10 years,45–64,Persons,One or more long-term health condition(s),120.0,340.0,35.2941176470588,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58594,Cook Islands,0–10 years,45–64,Male,One or more long-term health condition(s),52.0,161.0,32.2981366459627,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58595,Cook Islands,0–10 years,45–64,Female,One or more long-term health condition(s),68.0,179.0,37.9888268156424,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58596,Cook Islands,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58597,Cook Islands,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58598,Cook Islands,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58599,Cook Islands,More than 10 years,00–44,Persons,One or more long-term health condition(s),308.0,1959.0,15.7223072996426,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58600,Cook Islands,More than 10 years,00–44,Male,One or more long-term health condition(s),159.0,997.0,15.9478435305917,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58601,Cook Islands,More than 10 years,00–44,Female,One or more long-term health condition(s),149.0,962.0,15.4885654885654,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58602,Cook Islands,More than 10 years,45–64,Persons,One or more long-term health condition(s),1025.0,2470.0,41.497975708502,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
58603,Cook Islands,More than 10 years,45–64,Male,One or more long-term health condition(s),488.0,1203.0,40.5652535328345,Maori (Cook Island),Not specified,Oceania and Antarctica,Polynesia
