,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
33,New Zealand,More than 10 years,65 and over,Persons,Arthritis,21824.0,77154.0,28.2862845737097,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
34,New Zealand,More than 10 years,65 and over,Male,Arthritis,8702.0,38812.0,22.4209007523446,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
35,New Zealand,More than 10 years,65 and over,Female,Arthritis,13122.0,38342.0,34.2235668457566,Maori (New Zealand),Not specified,Oceania and Antarctica,New Zealand
36,"Melanesia, nfd",0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
37,"Melanesia, nfd",0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
38,"Melanesia, nfd",0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
39,"Melanesia, nfd",0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
40,"Melanesia, nfd",0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
41,"Melanesia, nfd",0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
42,"Melanesia, nfd",0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
43,"Melanesia, nfd",0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
44,"Melanesia, nfd",0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
45,"Melanesia, nfd",More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
46,"Melanesia, nfd",More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
47,"Melanesia, nfd",More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
48,"Melanesia, nfd",More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
49,"Melanesia, nfd",More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
50,"Melanesia, nfd",More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
51,"Melanesia, nfd",More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
52,"Melanesia, nfd",More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
53,"Melanesia, nfd",More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
54,New Caledonia,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
55,New Caledonia,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
56,New Caledonia,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
57,New Caledonia,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
58,New Caledonia,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
59,New Caledonia,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
60,New Caledonia,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
61,New Caledonia,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
62,New Caledonia,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
63,New Caledonia,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
64,New Caledonia,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
65,New Caledonia,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
66,New Caledonia,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
67,New Caledonia,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
68,New Caledonia,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
69,New Caledonia,More than 10 years,65 and over,Persons,Arthritis,75.0,289.0,25.9515570934256,French,Not specified,Oceania and Antarctica,Melanesia
70,New Caledonia,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
71,New Caledonia,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,French,Not specified,Oceania and Antarctica,Melanesia
72,Papua New Guinea,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
73,Papua New Guinea,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
74,Papua New Guinea,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
75,Papua New Guinea,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
76,Papua New Guinea,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
77,Papua New Guinea,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
78,Papua New Guinea,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
79,Papua New Guinea,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
80,Papua New Guinea,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
81,Papua New Guinea,More than 10 years,00–44,Persons,Arthritis,120.0,6479.0,1.85213767556721,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
82,Papua New Guinea,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
83,Papua New Guinea,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
84,Papua New Guinea,More than 10 years,45–64,Persons,Arthritis,1469.0,13395.0,10.9667786487495,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
85,Papua New Guinea,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
86,Papua New Guinea,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
87,Papua New Guinea,More than 10 years,65 and over,Persons,Arthritis,940.0,3773.0,24.9138616485555,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
88,Papua New Guinea,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
89,Papua New Guinea,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified,Oceania and Antarctica,Melanesia
90,Solomon Islands,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
91,Solomon Islands,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
92,Solomon Islands,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
93,Solomon Islands,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
94,Solomon Islands,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
95,Solomon Islands,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
96,Solomon Islands,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
97,Solomon Islands,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
98,Solomon Islands,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
99,Solomon Islands,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
100,Solomon Islands,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
101,Solomon Islands,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
102,Solomon Islands,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
103,Solomon Islands,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
104,Solomon Islands,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
105,Solomon Islands,More than 10 years,65 and over,Persons,Arthritis,49.0,190.0,25.7894736842105,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
106,Solomon Islands,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
107,Solomon Islands,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified,Oceania and Antarctica,Melanesia
108,Vanuatu,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
109,Vanuatu,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
110,Vanuatu,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
111,Vanuatu,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
112,Vanuatu,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
113,Vanuatu,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
114,Vanuatu,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
115,Vanuatu,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
116,Vanuatu,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
117,Vanuatu,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
118,Vanuatu,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
119,Vanuatu,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
120,Vanuatu,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
121,Vanuatu,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
122,Vanuatu,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
123,Vanuatu,More than 10 years,65 and over,Persons,Arthritis,46.0,185.0,24.8648648648648,Bislama,Not specified,Oceania and Antarctica,Melanesia
124,Vanuatu,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
125,Vanuatu,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified,Oceania and Antarctica,Melanesia
126,"Micronesia, nfd",0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
127,"Micronesia, nfd",0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
128,"Micronesia, nfd",0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
129,"Micronesia, nfd",0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
130,"Micronesia, nfd",0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
131,"Micronesia, nfd",0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
132,"Micronesia, nfd",0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
133,"Micronesia, nfd",0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
134,"Micronesia, nfd",0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
135,"Micronesia, nfd",More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
136,"Micronesia, nfd",More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
137,"Micronesia, nfd",More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
138,"Micronesia, nfd",More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
139,"Micronesia, nfd",More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
140,"Micronesia, nfd",More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
141,"Micronesia, nfd",More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
142,"Micronesia, nfd",More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
143,"Micronesia, nfd",More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
144,Guam,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
145,Guam,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
146,Guam,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
147,Guam,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
148,Guam,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
149,Guam,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
150,Guam,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
151,Guam,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
152,Guam,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
153,Guam,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
154,Guam,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
155,Guam,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
156,Guam,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
157,Guam,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
158,Guam,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
159,Guam,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
160,Guam,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
161,Guam,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
162,Kiribati,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
163,Kiribati,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
164,Kiribati,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
165,Kiribati,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
166,Kiribati,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
167,Kiribati,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
168,Kiribati,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
169,Kiribati,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
170,Kiribati,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
171,Kiribati,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
172,Kiribati,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
173,Kiribati,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
174,Kiribati,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
175,Kiribati,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
176,Kiribati,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
177,Kiribati,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
178,Kiribati,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
179,Kiribati,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified,Oceania and Antarctica,Micronesia
180,Marshall Islands,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
181,Marshall Islands,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
182,Marshall Islands,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
183,Marshall Islands,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
184,Marshall Islands,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
185,Marshall Islands,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
186,Marshall Islands,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
187,Marshall Islands,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
188,Marshall Islands,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
189,Marshall Islands,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
190,Marshall Islands,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
191,Marshall Islands,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
192,Marshall Islands,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
193,Marshall Islands,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
194,Marshall Islands,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
195,Marshall Islands,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
196,Marshall Islands,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
197,Marshall Islands,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
198,"Micronesia, Federated States of",0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
199,"Micronesia, Federated States of",0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
200,"Micronesia, Federated States of",0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
201,"Micronesia, Federated States of",0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
202,"Micronesia, Federated States of",0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
203,"Micronesia, Federated States of",0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
204,"Micronesia, Federated States of",0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
205,"Micronesia, Federated States of",0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
206,"Micronesia, Federated States of",0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
207,"Micronesia, Federated States of",More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
208,"Micronesia, Federated States of",More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
209,"Micronesia, Federated States of",More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
210,"Micronesia, Federated States of",More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
211,"Micronesia, Federated States of",More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
212,"Micronesia, Federated States of",More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
213,"Micronesia, Federated States of",More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
214,"Micronesia, Federated States of",More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
215,"Micronesia, Federated States of",More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Yapese,Not specified,Oceania and Antarctica,Micronesia
